StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Unnamed: 12
4455.0,82.0,Two,3.0,2.0,90.0,,Yes,Yes,74.0,81.0, Placed ,
6869.0,,One,,,85.0,4.8,,Yes,80.0,80.0, P ,
3894.0,7.7,1.0,,,64.0,,yes,Yes,70.0,69.0, NP ,
3334.0,6.5,,,1.0,Score: 83.0,3.6,0,Yes,76.0,, Yes ,
2802.0,,2.0,3.0,2.0,90.0,4.8,N,Yes,,80.0, NotPlaced ,
,,1.0,2.0,1.0,66.0,4.6,,No,,70.0, NP ,
2466.0,76.0,1.0,1.0,1.0,84.0,4.1,,No,55.0,66.0, Unplaced ,
6474.0,8.4,1.0,3.0,0.0,88.0,4.7,Yes,,72.0,85.0,,
,approx 7.5,2.0,3.0,0.0,88.0,,Yes,,,83.0, Idle ,
9473.0,7.9,1.0,3.0,0.0,,,T,Yes,76.0,83.0, Unplaced ,
9930.0,,One,,2.0,83.0,,,Yes,,, placed ,
5329.0,6.8,1.0,1.0,1.0,,3.6,,Yes,55.0,, NotPlaced ,
,7.4,1.0,1.0,0.0,84.0,4.1,No,No,55.0,70.0, No ,
,approx 8.3,2.0,3.0,,,4.7,No,No,83.0,80.0,,
,7.7,,1.0,,67.0,3.8,No,No,55.0,, NotPlaced ,
1793.0,approx 7.6,One,1.0,0.0,60.0,4.2,,No,62.0,, NotPlaced ,
8484.0,82.0,0.0,3.0,2.0,,4.6,Yes,Yes,,81.0, Unemployed ,
3689.0,,1.0,3.0,1.0,81.0,4.7,F,Yes,69.0,74.0, Employed ,
8633.0,7.8,0.0,,1.0,-1,3.6,Y,No,55.0,, NotPlaced ,
3343.0,7.0,One,1.0,1.0,78.0,4.7,,No,55.0,69.0, NotPlaced ,
1773.0,7.4,2.0,1.0,1.0,65.0,3.2,,Yes,55.0,62.0, NotPlaced ,
9522.0,6.7,One,2.0,1.0,77.0,4.5,Yes,Yes,75.0,,,
5377.0,7.5,1.0,,0.0,76.0,4.0,No,No,68.0,65.0, NotPlaced ,
,6.5,1.0,1.0,0.0,Score: 79.0,4.0,Yes,Yes,79.0,,,
6701.0,8.2,,3.0,,-1,,Yes,Yes,,, Placed ,
,8.3,1.0,3.0,2.0,88.0,4.8,Yes,Yes,,, PLACED ,
,8.3,Two,3.0,2.0,,4.3,Y,Yes,67.0,84.0, Yes ,
